id,name,default_code,type,is_storable,categ_id,uom_id,list_price,standard_price,barcode,sale_ok,purchase_ok,taxes_id/id,description_sale
reprise.prod_chaise_ergo,Chaise de bureau ergonomique,CH-ERG-01,consu,TRUE,Goods,Unité(s),189.00,96.50,6130000000011,TRUE,TRUE,account.1_sale_tax_template,Assise réglable en hauteur avec soutien lombaire.
reprise.prod_bureau_140,Bureau droit 140 cm,BUR-140,consu,TRUE,Goods,Unité(s),349.00,187.00,6130000000028,TRUE,TRUE,account.1_sale_tax_template,Plateau mélaminé 140 x 70 cm sur piètement métal.
reprise.prod_caisson_3t,Caisson mobile 3 tiroirs,CAI-3T,consu,TRUE,Goods,Unité(s),129.00,64.00,6130000000035,TRUE,TRUE,account.1_sale_tax_template,
reprise.prod_etagere_90,Étagère murale 90 cm,ETA-90,consu,TRUE,Mobilier de bureau,Unité(s),79.00,38.00,6130000000042,TRUE,TRUE,account.1_sale_tax_template,
reprise.prod_tabouret_atelier,Tabouret d'atelier,TAB-01,consu,TRUE,Mobilier de bureau,Unité(s),59.00,26.00,6130000000059,TRUE,TRUE,account.1_sale_tax_template,
reprise.prod_lampe_led,Lampe de bureau LED,LAM-LED,consu,TRUE,Goods,Unité(s),45.00,19.00,6130000000066,TRUE,TRUE,account.1_sale_tax_template,
reprise.prod_peinture_5l,Peinture acrylique blanche 5 L,PEI-5L,consu,TRUE,Goods,Unité(s),32.00,15.00,6130000000073,TRUE,TRUE,account.1_sale_tax_template,
reprise.prod_vis_440,Vis à bois 4x40 - boîte de 200,VIS-440,consu,FALSE,Goods,Unité(s),8.00,3.00,6130000000080,TRUE,TRUE,account.1_sale_tax_template,
reprise.serv_montage,Montage sur site,SER-MONT,service,FALSE,Services,Unité(s),120.00,0.00,,TRUE,FALSE,account.1_sale_tax_template,Assemblage et calage du mobilier chez le client.
reprise.serv_livraison,Livraison et mise en place,SER-LIV,service,FALSE,Services,Unité(s),45.00,0.00,,TRUE,FALSE,account.1_sale_tax_template,
